"Polling_firm","PollDate","LPC","CPC","NDP","BQ","GPC","SampleSize","LPC_moe","CPC_moe","NDP_moe","BQ_moe","GPC_moe","NumDays","pollster_id"
"Abacus Data",2019-09-10,0.33,0.35,0.15,0.04,0.1,2000,0.0105142760093123,0.0106653645038508,0.00798435971133566,0.00438178046004133,0.00670820393249937,1423,1
"Leger",2019-09-09,0.34,0.35,0.11,0.05,0.11,1546,0.0120477703755505,0.0121307026039812,0.00795768238410288,0.00554296402604682,0.00795768238410288,1422,11
"Mainstreet Research",2019-09-08,0.375,0.34,0.084,0.036,0.108,1876,0.0111773596555688,0.010936919341882,0.00640428960721908,0.00430103870035123,0.00716601788769312,1421,12
"Nanos Research",2019-09-06,0.346,0.307,0.165,0.04,0.11,1000,0.0150427391122761,0.0145859864253331,0.0117377595817941,0.00619677335393187,0.00989444288477123,1419,13
"Campaign Research",2019-09-05,0.34,0.34,0.12,0.04,0.12,2094,0.0103519719755337,0.0103519719755337,0.00710139418895572,0.00428230182057751,0.00710139418895572,1418,3
"Innovative Research",2019-09-05,0.33,0.34,0.13,0.05,0.11,3236,0.00826589938887752,0.00832735673609195,0.00591189954602363,0.00383126814185378,0.00550030901480486,1418,8
"Nanos Research",2019-08-30,0.354,0.313,0.157,0.044,0.103,1000,0.0151223014121528,0.0146639353517397,0.0115043904662524,0.00648567652600714,0.0096120237203203,1412,13
"EKOS",2019-08-29,0.372,0.329,0.072,0.055,0.104,902,0.016093408051283,0.0156442929670543,0.0086067059916444,0.00759091241021211,0.0101640643441062,1411,5
"Leger",2019-08-29,0.34,0.33,0.12,0.05,0.12,2102,0.0103322539157736,0.0102560000771867,0.00708786771155328,0.00475368553498826,0.00708786771155328,1411,11
"Abacus Data",2019-08-29,0.33,0.34,0.17,0.04,0.09,4549,0.00697166327433616,0.00702349791571705,0.00556936316927108,0.00290541145033837,0.00424310698823485,1411,1
"Angus Reid",2019-08-26,0.32,0.36,0.14,0.04,0.09,1534,0.0119101372355659,0.012255430108516,0.00885932356790486,0.005003258390701,0.00730683450671182,1408,2
